TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,CabIntTmpAct,,,StatBits[73].12,STATBITS[73].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,CabIntTmpMax,,,AiSclMax[60],AISCLMAX[60],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CabIntTmpMin,,,AiSclMin[60],AISCLMIN[60],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,CabIntTmpRng,,,AiRng[60],AIRNG[60],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,ClkDay,,,StatBits[166],STATBITS[166],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkDayHst,,,ClkHst[2],CLKHST[2],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkDaySet,,,SetBits[82],SETBITS[82],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkHour,,,StatBits[168],STATBITS[168],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkHourHst,,,ClkHst[3],CLKHST[3],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkHourSet,,,SetBits[83],SETBITS[83],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMin,,,StatBits[169],STATBITS[169],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMinHst,,,ClkHst[4],CLKHST[4],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMinSet,,,SetBits[84],SETBITS[84],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMonth,,,StatBits[165],STATBITS[165],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMonthHst,,,ClkHst[1],CLKHST[1],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkMonthSet,,,SetBits[81],SETBITS[81],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkSec,,,StatBits[170],STATBITS[170],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkSecHst,,,ClkHst[5],CLKHST[5],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkSecSet,,,SetBits[85],SETBITS[85],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,ClkYear2d,,,StatBits[167],STATBITS[167],"(RADIX := Decimal, ExternalAccess := Read/Write)"
