GroupName,Specifier,ItemName,ItemPath,DataType,ReadOnly,Reserved,UpdateRate,Reserved,Value,Quality,Timestamp,
Group0,BMSAIRNG[4],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[4].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[40],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[40].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[41],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[41].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[42],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[42].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[43],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[43].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[44],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[44].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[45],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[45].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[46],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[46].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[47],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[47].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[48],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[48].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
