TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDiS7B14,,,BmsStatBits[127].14,BMSSTATBITS[127].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B15,,,BmsStatBits[127].15,BMSSTATBITS[127].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8,,,BmsStatBits[128],BMSSTATBITS[128],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B00,,,BmsStatBits[128].0,BMSSTATBITS[128].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B01,,,BmsStatBits[128].1,BMSSTATBITS[128].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B02,,,BmsStatBits[128].2,BMSSTATBITS[128].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B03,,,BmsStatBits[128].3,BMSSTATBITS[128].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B04,,,BmsStatBits[128].4,BMSSTATBITS[128].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B05,,,BmsStatBits[128].5,BMSSTATBITS[128].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B06,,,BmsStatBits[128].6,BMSSTATBITS[128].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B07,,,BmsStatBits[128].7,BMSSTATBITS[128].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B08,,,BmsStatBits[128].8,BMSSTATBITS[128].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B09,,,BmsStatBits[128].9,BMSSTATBITS[128].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B10,,,BmsStatBits[128].10,BMSSTATBITS[128].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B11,,,BmsStatBits[128].11,BMSSTATBITS[128].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B12,,,BmsStatBits[128].12,BMSSTATBITS[128].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B13,,,BmsStatBits[128].13,BMSSTATBITS[128].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS8B14,,,BmsStatBits[128].14,BMSSTATBITS[128].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
